N,N2,N3,M,All,X100
,,14.784,13.55,13.916,
,,14.966,14.105,13.708,
,,14.669,13.802,13.623,
,,15.234,14.496,13.698,
,,14.185,13.248,13.801,
,,14.769,14.373,13.591,
,,15.247,16.09,13.446,
,,15.462,14.085,13.526,
,,14.537,14.652,13.687,
,,14.174,14.522,13.52,
,,13.873,14.039,13.436,
,,15.248,14.153,13.319,
,,14.211,14.226,13.205,
,,14.357,14.317,13.646,
,,13.767,14.763,13.994,
,,14.058,14.803,13.732,
,,16.269,14.474,13.457,
,,15.626,13.47,13.644,
,,13.352,15.764,13.655,
,,13.849,14.192,14.176,
,,14.203,13.648,13.785,
,,14.412,13.853,14.156,
,,13.967,14.891,13.192,
,,14.438,13.886,13.814,
,,15.841,15.234,13.83,
,,13.753,13.445,13.65,
,,13.128,14.017,13.975,
,,14.767,14.123,14.023,
,,13.968,14.584,13.712,
,,15.4,14.349,13.94,
,,14.301,14.266,13.953,
,,14.297,15.428,13.963,
,,13.99,14.937,13.941,
,,13.882,14.255,13.945,
,,15.329,15.721,14.013,
,,14.397,14.317,13.423,
,,14.259,13.343,14.137,
,,13.696,14.045,14.074,
,,,15.094,14.052,
,,,13.962,14.205,
,,,15.256,14.058,
,,,16.014,13.956,
,,,15.542,13.875,
,,,13.612,13.493,
,,,15.606,13.753,
,,,14.117,13.602,
,,,14.715,13.664,
,,,15.762,14.248,
,,,15.009,13.505,
,,,13.914,14.1,
,,,14.239,13.471,
,,,14.455,13.645,
,,,14.065,13.64,
,,,14.379,13.676,
,,,13.862,13.778,
,,,13.294,13.374,
,,,15.234,13.81,
,,,14.246,13.411,
,,,13.809,13.764,
,,,14.043,13.142,
,,,15.044,13.377,
,,,14.219,13.546,
,,,15.172,13.546,
,,,16.034,13.934,
,,,13.359,13.47,
,,,14.341,13.436,
,,,14.495,13.834,
,,,15.659,13.476,
,,,14.228,13.668,
,,,14.689,13.587,
,,,14.431,13.856,
,,,14.326,13.837,
,,,15.682,13.259,
,,,15.291,13.828,
,,,14.886,13.493,
,,,13.667,14.016,
,,,14.647,14.282,
,,,14.018,13.849,
,,,14.108,13.642,
,,,14.851,13.516,
,,,14.433,13.687,
,,,14.174,14.088,
,,,15.1,13.547,
,,,13.338,13.699,
,,,14.578,13.731,
,,,15.999,13.807,
,,,15.4,13.687,
,,,14.231,13.895,
,,,14.2,13.389,
,,,13.806,13.806,
,,,15.303,13.977,
,,,13.863,13.637,
,,,13.533,13.882,
,,,14.611,13.667,
,,,13.618,13.945,
,,,13.97,13.875,
,,,14.052,13.605,
,,,15.147,14.132,
,,,14.006,14.033,
,,,14.94,13.837,
,,,13.223,14.103,
,,,15.293,14.114,
,,,14.221,14.3,
,,,14.365,14.018,
,,,15.79,14.087,
,,,14.927,14.198,
,,,13.471,13.874,
,,,15.103,13.847,
,,,15.512,14.008,
,,,14.54,13.969,
,,,14.175,13.878,
,,,15.091,14.015,
,,,14.013,13.683,
,,,15.225,14.26,
,,,16.15,14.041,
,,,14.751,14,
,,,15.039,14.058,
,,,14.835,14.129,
,,,15.453,14.323,
,,,14.447,14.091,
,,,14.398,14,
,,,14.782,14.457,
,,,15.14,14.138,
,,,13.352,14.234,
,,,14.381,14.112,
,,,13.973,13.917,
,,,14.937,13.863,
,,,14.51,13.868,
,,,13.898,14.005,
,,,13.869,14.641,
,,,14.593,14.25,
,,,13.357,13.49,
,,,16.01,13.917,
,,,14.92,14.044,
,,,13.936,14.371,
,,,13.499,14.286,
,,,13.901,13.819,
,,,14.951,14.373,
,,,12.914,14.242,
,,,14.212,14.248,
,,,15.476,15.014,
,,,14.326,14.755,
,,,14.589,13.941,
,,,13.732,13.481,
,,,13.588,13.705,
,,,14.228,14.271,
,,,13.119,13.996,
,,,16.278,14.699,
,,,14.223,14.089,
,,,14.533,13.801,
,,,15.447,14.327,
,,,14.414,14.085,
,,,15.922,13.795,
,,,14.63,14.182,
,,,15.307,14.648,
,,,14.386,14.542,
,,,13.211,14.601,
,,,16.353,14.633,
,,,14.773,14.553,
,,,14.409,14.402,
,,,13.647,14.37,
,,,14.44,14.765,
,,,14.644,14.787,
,,,14.266,14.484,
,,,15.578,14.321,
,,,13.945,14.649,
,,,13.13,14.524,
,,,14.185,14.368,
,,,14.355,14.686,
,,,14.978,14.636,
,,,15.701,14.702,
,,,13.635,14.523,
,,,14.845,14.576,
,,,13.955,14.399,
,,,13.994,14.383,
,,,14.367,14.495,
,,,13.634,14.45,
,,,15.743,14.441,
,,,13.277,14.354,
,,,13.335,14.268,
,,,15.376,13.034,
,,,15.159,14.995,
,,,14.332,14.623,
,,,14.504,14.91,
,,,14.242,14.13,
,,,13.765,14.206,
,,,14.209,14.892,
,,,13.95,14.479,
,,,13.771,14.088,
,,,13.542,14.378,
,,,14.485,13.647,
,,,14.429,14.777,
,,,15.626,14.837,
,,,14.037,14.715,
,,,14.074,14.681,
,,,14.588,14.779,
,,,13.457,14.448,
,,,14.999,14.921,
,,,13.536,14.502,
,,,15.26,14.746,
,,,14.463,14.557,
,,,15.619,14.143,
,,,14.622,14.505,
,,,15.17,14.526,
,,,15.468,14.886,
,,,16.093,14.886,
,,,14.759,14.761,
,,,13.618,14.187,
,,,15.331,14.892,
,,,14.46,14.468,
,,,14.402,14.464,
,,,13.493,14.903,
,,,13.963,14.504,
,,,14.151,14.749,
,,,15.346,14.806,
,,,13.085,14.465,
,,,14.038,14.314,
,,,13.567,14.811,
,,,14.747,14.912,
,,,14.102,14.477,
,,,13.593,14.283,
,,,13.868,14.915,
,,,14.474,14.725,
,,,13.12,14.966,
,,,14.962,14.559,
,,,13.921,14.684,
,,,13.107,15.039,
,,,14.912,14.621,
,,,13.646,14.824,
,,,14.58,14.851,
,,,13.537,14.626,
,,,13.785,14.798,
,,,15.208,15.549,
,,,14.794,15.708,
,,,14.318,15.599,
,,,14.028,15.554,
,,,14.801,15.687,
,,,15.263,15.558,
,,,13.588,15.458,
,,,14.301,15.322,
,,,15.973,16.097,
,,,14.585,15.829,
,,,14.344,15.134,
,,,16.016,15.828,
,,,14.015,15.725,
,,,13.82,15.951,
,,,15.357,16.006,
,,,15.786,15.921,
,,,14.408,15.094,
,,,15.23,15.648,
,,,15.361,15.212,
,,,14.764,16.093,
,,,15.749,15.515,
,,,15.298,15.928,
,,,14.806,15.843,
,,,14.271,15.43,
,,,16.1,15.396,
,,,14.788,15.787,
,,,14.312,15.583,
,,,15.578,15.998,
,,,15.394,15.579,
,,,14.306,16.206,
,,,14.626,15.634,
,,,15.7,16.298,
,,,14.811,15.806,
,,,13.651,16.01,
,,,14.523,15.308,
,,,13.723,16.087,
,,,14.645,16.06,
,,,15.03,16.091,
,,,13.9,15.9,
,,,14.91,15.967,
,,,15.371,15.773,
,,,13.83,15.651,
,,,14.787,16.001,
,,,15.585,16.384,
,,,14.044,15.922,
,,,14.3,16.252,
,,,13.315,16.036,
