hw_cpu_arch,hw_cpu_mhz,hw_num_cpus,hw_page_sz,hw_ram_sz,check,preset,extreme,sparse,PERF
i686,1733,2,4096,1813636,sha256,PRESET7,1,1,121.492
i686,1733,2,4096,1813636,sha256,PRESET7,1,0,121.456
i686,1733,2,4096,1813636,none,PRESET3,0,0,23.436
i686,1733,2,4096,1813636,sha256,PRESET7,0,1,55.944
i686,1733,2,4096,1813636,sha256,PRESET7,0,0,55.952
i686,1733,2,4096,1813636,sha256,PRESET8,1,1,122.004
i686,1733,2,4096,1813636,sha256,PRESET8,1,0,122.076
i686,1733,2,4096,1813636,sha256,PRESET8,0,1,56.472
i686,1733,2,4096,1813636,sha256,PRESET8,0,0,56.414
i686,1733,2,4096,1813636,sha256,PRESET9,1,1,122.78
i686,1733,2,4096,1813636,sha256,PRESET9,1,0,122.768
i686,1733,2,4096,1813636,sha256,PRESET9,0,1,57.17
i686,1733,2,4096,1813636,sha256,PRESET9,0,0,57.204
i686,1733,2,4096,1813636,none,PRESET4,1,1,112.816
i686,1733,2,4096,1813636,none,PRESET4,1,0,112.866
i686,1733,2,4096,1813636,none,PRESET4,0,1,34.308
i686,1733,2,4096,1813636,none,PRESET4,0,0,34.02
i686,1733,2,4096,1813636,none,PRESET0,0,1,10.39
i686,1733,2,4096,1813636,none,PRESET5,1,1,108.174
i686,1733,2,4096,1813636,none,PRESET5,1,0,108.196
i686,1733,2,4096,1813636,none,PRESET5,0,1,42.90
i686,1733,2,4096,1813636,none,PRESET5,0,0,42.918
i686,1733,2,4096,1813636,none,PRESET6,1,1,117.706
i686,1733,2,4096,1813636,none,PRESET6,1,0,117.69
i686,1733,2,4096,1813636,none,PRESET6,0,1,54.148
i686,1733,2,4096,1813636,none,PRESET6,0,0,54.132
i686,1733,2,4096,1813636,none,PRESET7,1,1,120.35
i686,1733,2,4096,1813636,none,PRESET7,1,0,120.22
i686,1733,2,4096,1813636,none,PRESET0,0,0,10.402
i686,1733,2,4096,1813636,none,PRESET7,0,1,54.722
i686,1733,2,4096,1813636,none,PRESET7,0,0,54.684
i686,1733,2,4096,1813636,none,PRESET8,1,1,120.972
i686,1733,2,4096,1813636,none,PRESET8,1,0,120.79
i686,1733,2,4096,1813636,none,PRESET8,0,1,55.198
i686,1733,2,4096,1813636,none,PRESET8,0,0,55.202
i686,1733,2,4096,1813636,none,PRESET9,1,1,121.574
i686,1733,2,4096,1813636,none,PRESET9,1,0,121.504
i686,1733,2,4096,1813636,none,PRESET9,0,1,55.898
i686,1733,2,4096,1813636,none,PRESET9,0,0,55.944
i686,1733,2,4096,1813636,none,PRESET1,1,1,103.384
i686,1733,2,4096,1813636,crc32,PRESET0,1,1,91.114
