N,2N,3N,I2
1.0882,0.0745,0.0538,0.0179
0,0,0.1143,0.1556
1.069,0.0783,0.0812,0.0667
0.0923,0.0667,0.1136,0.0965
0.1406,0.018,0.0101,0.0919
0.6216,0.0323,0.0809,0.0632
0.1892,0.1022,0.0095,0.0942
0,0.2083,0.0069,0.1543
0.7647,0,0.0798,0.0146
0.3617,0.0479,0.053,0.0919
0.0556,0.197,0.0707,0.2235
0.4603,0.1857,0.0051,0.0469
0.2174,0.0192,0.0329,0.0381
0.1351,0.0303,0.0417,0.0079
0.4516,0.0375,0.1037,0.0588
0.4603,0.0097,0.0163,0.0429
0.5342,0,0.0577,0.0809
0.0588,0.0639,0.0047,0.1438
0.0857,0.1307,0,0.0694
0.0323,0.061,0.1238,0
0.1579,0.1534,0.0578,0.0417
0.1613,0.0588,0.1172,0.0451
0.125,0.0375,0.0531,0.0146
0.3929,0.1022,0.0515,0.1543
0.2716,0.018,0.071,0.0147
0.2,0.0921,0.037,0
0.2,0.02,0.2619,0.0146
0.4603,0.0323,0.0833,0.0246
0.5278,0.0641,0.0108,0.0385
0.5342,0.0354,0.0214,0.1186
0.4237,0.0333,0.1238,0.0913
0.2826,0.0702,0.0079,0.1512
0.2889,0.0122,0.0208,0.0469
0.0323,0.1154,0.093,0.01
0.2381,0.1216,0.1037,0.1184
0,0.0641,0.0926,0.1161
0.1613,0,0.032,0.01
0.0536,0.0802,0.0208,0.1512
0.2625,0.0122,0.125,0.0582
0.4769,0.1111,0.1073,0.0575
0.0857,0.0568,0.0338,0.0582
0.3061,0.1382,0.0068,0.0417
0.2857,0.1582,0.1171,0.1222
0.475,0.0588,0.0338,0.0582
0.3704,0.0531,0.0329,0.0806
0.4035,0.1202,0.098,0.0593
0.122,0.1179,0.0515,0.1556
0.2532,0.0303,0.032,0.0385
0.5143,0.1582,0.0592,0.0632
0.027,0.1913,0.0965,0.1089
0.1918,0.1579,0.0108,0.0469
0.439,0.1216,0.2184,0.0323
0.5278,0.0625,0.0108,0.0381
0.0667,0.0376,0.05,0.2089
0.5526,0.0114,0.1217,0.0833
0.0303,0.0875,0.0488,0.0818
0.0588,0,0.0707,0.0954
0.4048,0.1382,0.0926,0.0152
0.2027,0.0778,0.0952,0.0469
0,0.0354,0.0515,0.0818
0.1034,0.0097,0.1667,0.1222
0,0.0745,0.1172,0.0417
0.4688,0.0588,0.0667,0.0742
0.0526,0.0639,0.0108,0.1882
0.1282,0.1122,0.1574,0.0036
0.0588,0.1783,0,0.0451
0.2,0.0066,0.0222,0.0179
0.0588,0.0875,0.0244,0.1022
0.1351,0.0392,0.0095,0.1243
0.0667,0.0049,0.3448,0.0809
0.1579,0.0846,0.0417,0.1243
0.0303,0.2794,0.1404,0.01
0.1449,0.0238,0.1585,0.0756
0.3111,0.0667,0.0823,0.0234
0.475,0,0.0208,0.0947
0.0303,0.0875,0.037,0.0667
0.5946,0.1782,0.0208,0.053
0.439,0.0303,0.2255,0.0146
0.2727,0.0588,0.1833,0.0147
0.2,0.0556,0.0812,0.04
0.1579,0.0667,0.0812,0.0079
0.1918,0.0686,0.0872,0.0756
0.3721,0.0122,0.1382,0.0417
0.1351,0.0625,0.0575,0.0582
0.1579,0.1382,0.0222,0.0818
0.0328,0.1167,0.1585,0.04
0.0588,0.0588,0.087,0.0667
0.3111,0.0921,0.0068,0.0359
0.0323,0.0375,0.0233,0.0954
0.1628,0.0857,0.0812,0.0152
0.1,0.0847,0.0417,0.1882
0.1111,0.0323,0.0707,0.0036
0.2273,0.0847,0.1276,0.0152
